"TE"	"seTE"	"treat1.long"	"treat2.long"	"treat1"	"treat2"	"studlab"
-1.90	0.1414	"Metformin"	"Placebo"	"metf"	"plac"	"DeFronzo1995"
-0.82	0.0992	"Metformin"	"Placebo"	"metf"	"plac"	"Lewin2007"
-0.20	0.3579	"Metformin"	"Acarbose"	"metf"	"acar"	"Willms1999"
-1.34	0.1435	"Rosiglitazone"	"Placebo"	"rosi"	"plac"	"Davidson2007"
-1.10	0.1141	"Rosiglitazone"	"Placebo"	"rosi"	"plac"	"Wolffenbuttel1999"
-1.30	0.1268	"Pioglitazone"	"Placebo"	"piog"	"plac"	"Kipnes2001"
-0.77	0.1078	"Rosiglitazone"	"Placebo"	"rosi"	"plac"	"Kerenyi2004"
 0.16	0.0849	"Pioglitazone"	"Metformin"	"piog"	"metf"	"Hanefeld2004"
 0.10	0.1831	"Pioglitazone"	"Rosiglitazone"	"piog"	"rosi"	"Derosa2004"
-1.30	0.1014	"Rosiglitazone"	"Placebo"	"rosi"	"plac"	"Baksi2004"
-1.09	0.2263	"Rosiglitazone"	"Placebo"	"rosi"	"plac"	"Rosenstock2008"
-1.50	0.1624	"Rosiglitazone"	"Placebo"	"rosi"	"plac"	"Zhu2003"
-0.14	0.2239	"Rosiglitazone"	"Metformin"	"rosi"	"metf"	"Yang2003"
-1.20	0.1436	"Rosiglitazone"	"Sulfonylurea"	"rosi"	"sulf"	"Vongthavaravat2002"
-0.40	0.1549	"Acarbose"	"Sulfonylurea"	"acar"	"sulf"	"Oyama2008"
-0.80	0.1432	"Acarbose"	"Placebo"	"acar"	"plac"	"Costa1997"
-0.57	0.1291	"Sitagliptin"	"Placebo"	"sita"	"plac"	"Hermansen2007"
-0.70	0.1273	"Vildagliptin"	"Placebo"	"vild"	"plac"	"Garber2008"
-0.37	0.1184	"Metformin"	"Sulfonylurea"	"metf"	"sulf"	"Alex1998"
-0.74	0.1839	"Miglitol"	"Placebo"	"migl"	"plac"	"Johnston1994"
-1.41	0.2235	"Miglitol"	"Placebo"	"migl"	"plac"	"Johnston1998a"
 0.00	0.2339	"Rosiglitazone"	"Metformin"	"rosi"	"metf"	"Kim2007"
-0.68	0.2828	"Miglitol"	"Placebo"	"migl"	"plac"	"Johnston1998b"
-0.40	0.4356	"Metformin"	"Placebo"	"metf"	"plac"	"Gonzalez-Ortiz2004"
-0.23	0.3467	"Benfluorex"	"Placebo"	"benf"	"plac"	"Stucci1996"
-1.01	0.1366	"Benfluorex"	"Placebo"	"benf"	"plac"	"Moulin2006"
-1.20	0.3758	"Metformin"	"Placebo"	"metf"	"plac"	"Willms1999"
-1.00	0.4669	"Acarbose"	"Placebo"	"acar"	"plac"	"Willms1999"
