event1;n1;event2;n2;event3;n3;treat1;treat2;treat3
9;140;23;140;10;138;A;C;D
11;78;12;85;29;170;B;C;D
75;731;363;714;;;A;C;
2;106;9;205;;;A;C;
58;549;237;1561;;;A;C;
0;33;9;48;;;A;C;
3;100;31;98;;;A;C;
1;31;26;95;;;A;C;
6;39;17;77;;;A;C;
79;702;77;694;;;A;B;
18;671;21;535;;;A;B;
64;642;107;761;;;A;C;
5;62;8;90;;;A;C;
20;234;34;237;;;A;C;
0;20;9;20;;;A;D;
8;116;19;149;;;A;B;
95;1107;143;1031;;;A;C;
15;187;36;504;;;A;C;
78;584;73;675;;;A;C;
69;1177;54;888;;;A;C;
20;49;16;43;;;B;C;
7;66;32;127;;;B;D;
12;76;20;74;;;C;D;
9;55;3;26;;;C;D;
